orderId,payment_method,Total_price,user_id,restaurant_id,date
5,Card,11027,1285,396,2024-02-08
8,Cash,7842,1679,293,2024-04-18
13,Cash,11561,9207,275,2024-05-22
23,Card,7590,4678,365,2024-05-06
25,Cash,6142,2098,105,2024-06-25
28,Card,14029,7301,364,2024-08-07
36,Cash,5344,3244,294,2024-05-25
46,Cash,13936,3942,316,2024-12-09
48,Cash,10492,8259,433,2024-12-25
51,Cash,19511,9807,473,2024-02-09
55,UPI,13389,587,439,2024-05-28
57,Card,14036,3907,221,2024-06-19
66,Cash,11026,8313,347,2024-12-24
70,UPI,15291,9463,242,2024-05-12
75,Cash,6157,6401,115,2024-08-19
84,Cash,12656,1382,440,2024-03-13
85,Card,6850,2793,285,2024-01-19
87,UPI,13347,2314,273,2024-11-17
89,Cash,9152,7732,363,2024-09-23
90,UPI,10578,622,490,2024-07-22
92,UPI,2701,8026,499,2024-01-01
93,Card,6884,4846,431,2024-02-18
97,Cash,7122,1068,396,2024-05-29
102,Cash,15606,475,166,2024-07-30
106,Card,2819,1501,309,2024-04-21
113,Cash,5065,2914,417,2024-06-18
116,UPI,2462,7153,160,2024-07-29
117,Card,7206,4144,296,2024-08-24
118,Cash,12200,4082,337,2024-02-11
123,Cash,14065,3173,117,2024-07-18
127,UPI,13044,7880,252,2024-01-19
129,Cash,16242,4029,33,2024-09-04
131,Card,10735,5330,428,2024-03-03
135,Card,12713,7605,423,2024-12-01
139,UPI,10843,8091,109,2024-12-14
140,UPI,12172,7237,467,2024-05-16
148,UPI,20285,4387,306,2024-04-16
154,Card,13276,9378,400,2024-08-03
163,Card,4812,3803,441,2024-07-02
174,UPI,9049,1,382,2024-05-06
181,UPI,5132,1982,69,2024-04-26
190,Cash,5894,7962,166,2024-05-31
192,Card,2654,1853,490,2024-02-12
195,Cash,10551,3263,58,2024-05-11
196,UPI,7853,5792,334,2024-07-15
200,Card,2225,1155,332,2024-06-30
201,UPI,7692,4165,232,2024-01-18
205,Cash,6432,195,288,2024-08-10
211,Cash,13386,464,360,2024-12-01
220,UPI,9925,4251,405,2024-07-22
222,Card,7189,8906,456,2024-06-20
