order_id,user_id,restaurant_id,date,rating
5,1285,396,2024-02-08,4
8,1679,293,2024-04-18,4
13,9207,275,2024-05-22,1
23,4678,365,2024-05-06,4
25,2098,105,2024-06-25,2
28,7301,364,2024-08-07,4
36,3244,294,2024-05-25,1
46,3942,316,2024-12-09,1
48,8259,433,2024-12-25,3
51,9807,473,2024-02-09,1
55,587,439,2024-05-28,1
57,3907,221,2024-06-19,3
66,8313,347,2024-12-24,1
70,9463,242,2024-05-12,4
75,6401,115,2024-08-19,3
84,1382,440,2024-03-13,5
85,2793,285,2024-01-19,5
87,2314,273,2024-11-17,4
89,7732,363,2024-09-23,1
90,622,490,2024-07-22,3
92,8026,499,2024-01-01,2
93,4846,431,2024-02-18,3
97,1068,396,2024-05-29,2
102,475,166,2024-07-30,3
106,1501,309,2024-04-21,3
113,2914,417,2024-06-18,3
116,7153,160,2024-07-29,4
117,4144,296,2024-08-24,1
118,4082,337,2024-02-11,5
123,3173,117,2024-07-18,3
127,7880,252,2024-01-19,3
129,4029,33,2024-09-04,4
131,5330,428,2024-03-03,5
135,7605,423,2024-12-01,5
139,8091,109,2024-12-14,4
140,7237,467,2024-05-16,1
148,4387,306,2024-04-16,1
154,9378,400,2024-08-03,5
163,3803,441,2024-07-02,2
174,1,382,2024-05-06,5
181,1982,69,2024-04-26,1
190,7962,166,2024-05-31,4
192,1853,490,2024-02-12,1
195,3263,58,2024-05-11,4
196,5792,334,2024-07-15,4
200,1155,332,2024-06-30,1
201,4165,232,2024-01-18,3
205,195,288,2024-08-10,4
211,464,360,2024-12-01,3
220,4251,405,2024-07-22,2
222,8906,456,2024-06-20,2
228,7464,76,2024-09-04,5
232,8559,447,2024-10-30,2
233,3304,124,2024-04-20,3
237,996,457,2024-06-07,4
244,4672,63,2024-12-29,2
247,1775,175,2024-10-23,1
249,3458,449,2024-02-06,3
253,6960,69,2024-06-10,5
254,1837,165,2024-12-27,5
255,2574,284,2024-06-16,4
257,3229,79,2024-06-18,4
264,7501,10,2024-03-23,5
266,9140,418,2024-06-25,4
270,9677,416,2024-01-28,1
272,5102,133,2024-04-10,3
274,7956,419,2024-01-15,3
276,7623,319,2024-07-03,3
278,8131,296,2024-05-09,1
287,963,493,2024-11-16,1
291,828,312,2024-12-12,5
293,2120,14,2024-12-23,4
294,4223,178,2024-06-16,4
306,3115,182,2024-08-15,4
312,2566,37,2024-02-14,1
314,5842,32,2024-06-20,5
315,6277,11,2024-06-13,5
318,322,436,2024-09-22,5
327,5907,288,2024-03-13,1
330,6293,152,2024-07-14,2
331,954,2,2024-03-17,4
335,7985,3,2024-04-22,1
338,2876,451,2024-03-16,2
341,2704,430,2024-03-15,2
343,2975,157,2024-02-20,3
345,6255,199,2024-06-14,4
354,1778,153,2024-06-30,4
355,6044,460,2024-12-16,1
356,7616,64,2024-12-09,4
359,7730,9,2024-07-14,2
360,5782,329,2024-05-28,4
362,6950,367,2024-11-03,2
380,9666,349,2024-04-07,4
388,5585,396,2024-03-13,4
389,9195,383,2024-06-06,1
398,6014,151,2024-04-03,4
406,4788,120,2024-04-23,3
421,5685,454,2024-04-13,3
426,4037,70,2024-07-30,1
431,3020,356,2024-07-14,5
434,4604,389,2024-04-08,4
444,5029,205,2024-03-25,1
448,3883,73,2024-02-02,1
452,4858,255,2024-07-26,1
453,5398,350,2024-08-25,4
462,3169,449,2024-11-01,4
463,574,346,2024-06-13,2
466,7662,438,2024-06-27,5
471,8605,46,2024-11-06,4
473,3628,62,2024-09-14,4
475,6918,490,2024-10-30,4
476,756,388,2024-09-19,4
484,6450,82,2024-12-07,3
487,5136,11,2024-03-10,4
488,7322,474,2024-06-03,3
489,2685,305,2024-10-11,1
494,2225,452,2024-03-20,2
496,8914,144,2024-07-17,1
501,6118,23,2024-05-21,1
508,5270,47,2024-02-18,1
512,4653,452,2024-08-01,2
513,6920,25,2024-08-03,3
517,6299,311,2024-08-12,4
523,5455,31,2024-05-12,2
528,8128,235,2024-10-06,5
537,7980,433,2024-04-25,3
538,2126,318,2024-11-14,3
545,7850,495,2024-11-29,4
548,6260,11,2024-02-05,5
552,1496,14,2024-04-18,3
554,745,437,2024-02-20,1
557,9403,477,2024-05-02,4
566,9012,294,2024-04-02,3
584,1245,266,2024-07-09,4
585,8679,441,2024-09-01,5
586,7047,436,2024-09-27,4
591,9292,353,2024-09-20,2
594,9072,405,2024-08-14,3
596,4141,35,2024-01-01,1
597,3223,26,2024-01-10,5
598,997,270,2024-11-02,3
601,3608,314,2024-07-04,5
602,386,265,2024-01-22,3
606,383,256,2024-06-14,3
608,2090,214,2024-12-26,1
610,4766,293,2024-05-23,3
616,801,86,2024-05-14,3
622,5099,122,2024-08-27,2
623,813,265,2024-02-23,4
628,7966,274,2024-04-14,2
630,1150,219,2024-02-19,2
634,9162,426,2024-06-19,1
636,6697,420,2024-04-30,4
639,238,260,2024-04-25,5
640,1138,250,2024-03-04,4
643,882,218,2024-09-16,4
645,1098,311,2024-10-15,1
647,7280,389,2024-08-10,1
648,3052,250,2024-11-16,3
655,8536,42,2024-02-13,4
656,9737,79,2024-09-19,4
660,3219,109,2024-02-19,5
664,5576,394,2024-03-10,1
667,1717,109,2024-05-30,1
670,9681,260,2024-08-17,3
671,4397,498,2024-03-05,4
675,2223,179,2024-07-30,3
676,3768,358,2024-10-03,4
679,6057,188,2024-08-06,4
687,237,265,2024-03-25,5
690,4936,487,2024-11-08,2
694,751,29,2024-04-13,4
702,3922,91,2024-01-08,4
704,698,145,2024-06-28,2
705,9650,482,2024-01-08,4
710,6100,256,2024-05-20,4
719,3674,406,2024-07-18,2
722,2008,320,2024-02-29,1
725,1740,223,2024-01-20,3
728,7499,469,2024-07-23,3
733,310,273,2024-03-22,3
738,5975,220,2024-12-29,3
742,8103,341,2024-08-24,1
744,5616,190,2024-12-31,3
746,916,464,2024-12-03,4
751,6349,122,2024-11-30,1
759,9972,242,2024-03-01,1
762,6734,259,2024-06-27,2
774,788,145,2024-06-24,4
776,5707,379,2024-11-27,1
784,8601,64,2024-01-13,3
795,6846,110,2024-08-21,5
798,1972,226,2024-03-03,5
801,6450,314,2024-03-04,1
802,5929,454,2024-09-28,4
804,1043,273,2024-08-14,4
806,3793,391,2024-08-02,3
807,1177,246,2024-04-17,4
808,4308,59,2024-12-26,1
814,6845,27,2024-02-26,4
817,39,67,2024-12-07,4
818,9245,290,2024-09-18,4
819,8810,163,2024-01-28,2
