item_id,restaurant_id,item_name,category,price
8119,15,Boeuf Bourguignon,French,1124
902,366,Polenta,Italian,463
7375,8,Baklava,Desserts,518
6497,218,Tom Yum Soup,Thai,488
5900,61,Ceviche,Seafood,475
2129,339,Grilled Prawns,Seafood,395
6898,264,Massaman Curry,Thai,1256
9771,288,Masala Dosa,Indian,511
1083,244,Kimchi,Korean,332
2845,235,Mole Poblano,Mexican,1043
5918,101,Menudo,Mexican,606
9754,187,Boeuf Bourguignon,French,1245
6978,172,Garlic Bread,Appetiser,1170
7809,48,Kabsa,Middle Eastern,1366
7945,251,French Onion Soup,French,1346
6272,263,Stuffed Peppers,Healthy,923
6629,176,Onion Rings,Appetiser,237
9594,410,Pancakes,American,508
1526,164,Bulgogi,Korean,499
4400,473,Fattoush,Middle Eastern,934
5197,166,Jerk Chicken,Caribbean,332
770,63,Mozzarella Sticks,Appetiser,276
7382,254,Tonkatsu,Japanese,597
410,28,Kofta,Middle Eastern,931
9913,284,Lobster Roll,American,1260
9137,235,Nachos,Appetiser,490
679,84,Fried Chicken,Fast Food,988
9049,96,Okonomiyaki,Japanese,592
4267,282,Donuts,Fast Food,178
9796,231,Dosa,Indian,1472
4084,71,Meatloaf,American,995
8538,29,Baozi,Chinese,606
6015,372,Tacos,Mexican,407
4672,184,Sangria,Beverage,821
599,216,Papaya Salad,Thai,339
4679,321,Smoothie Bowl,Healthy,1453
2615,438,Coconut Water,Beverage,408
5256,318,Duck Confit,French,587
6370,479,Soufflé,French,760
6415,98,Elote,Mexican,250
8093,453,Grilled Salmon,Seafood,1208
5891,436,Labneh,Middle Eastern,399
8951,462,Pudding,Desserts,1313
3004,464,Arancini,Italian,937
9440,413,Jerk Chicken,Caribbean,1478
2244,67,Margherita Pizza,Italian,1327
6787,170,Brown Rice Bowl,Healthy,1500
1723,124,Nachos,Appetiser,573
816,369,Teriyaki Chicken,Japanese,1410
8963,481,Fried Plantains,Caribbean,469
3177,272,Meatloaf,Main Course,287
5305,484,Tamales,Mexican,915
4734,4,Nachos,Appetiser,361
5152,18,Vegan Ice Cream,Vegan,275
3115,403,Chole Bhature,Indian,1048
3687,374,Tom Yum Soup,Thai,416
7600,140,Grilled Cheese,Fast Food,464
7160,401,Roti,Caribbean,982
8928,422,Milkshake,Beverage,1001
6140,198,Pina Colada,Beverage,437
3035,458,Udon,Japanese,756
5947,268,Teriyaki Chicken,Japanese,1046
8985,258,Samosa,Appetiser,176
8480,458,Stuffed Mushrooms,Appetiser,1345
9706,351,Green Tea,Beverage,1388
3538,169,Kofta,Middle Eastern,1115
1358,204,Jerk Chicken,Caribbean,1092
156,376,Kung Pao Chicken,Chinese,197
6553,282,Dolma,Mediterranean,1249
560,129,Roasted Cauliflower Steaks,Vegan,445
1282,283,Greek Salad,Mediterranean,1438
1349,318,Coconut Shrimp,Caribbean,1101
277,224,Fish & Chips,Main Course,1308
2290,298,Falafel,Mediterranean,1097
6923,406,Oatmeal,Healthy,450
3443,114,Ceviche,Seafood,332
3695,162,Fried Plantains,Caribbean,1158
7855,377,Crème Brûlée,French,906
8039,241,Sangria,Beverage,1006
429,281,Panang Curry,Thai,758
1195,256,Crispy Calamari,Appetiser,1198
1293,492,Chicken and Waffles,American,779
4444,107,Kimchi Jjigae,Korean,1003
2109,208,Orange Juice,Beverage,424
5907,11,Massaman Curry,Thai,1213
8964,226,Guacamole,Mexican,774
4363,143,Sushi,Japanese,296
3496,183,Panang Curry,Thai,971
6491,39,Philly Cheesesteak,American,575
2499,488,Brown Rice Bowl,Healthy,1145
4700,45,Oysters,Seafood,930
4766,24,Greek Salad,Mediterranean,208
5304,304,Baguette,French,1340
3255,368,Chickpea Salad,Vegan,324
5169,371,Dolma,Mediterranean,267
2985,421,Grilled Salmon,Seafood,871
7562,287,Stuffed Mushrooms,Appetiser,1008
1990,181,Greek Salad,Mediterranean,485
7528,67,Duck Confit,French,314
7036,318,Yakitori,Japanese,526
4849,63,Falafel,Mediterranean,963
4199,435,Tarte Tatin,French,1225
312,34,Carrot Cake,Desserts,210
502,389,Kale Salad,Healthy,1139
5494,310,Chili Cheese Fries,Fast Food,1297
834,441,Chow Mein,Chinese,1131
2829,388,Mushroom Risotto,Vegan,1117
9857,356,Coq au Vin,French,884
6246,50,Gulab Jamun,Desserts,1372
2079,18,Carrot Cake,Desserts,502
9834,232,Bruschetta,Italian,225
2036,474,Pancakes,American,425
7522,25,BBQ Chicken,Main Course,650
1335,4,Kibbeh,Mediterranean,965
4322,214,Tabbouleh,Mediterranean,1144
993,94,Spinach Artichoke Dip,Appetiser,389
4736,194,Crab Cakes,Seafood,959
3292,403,Cornbread,American,770
2728,362,Philly Cheesesteak,American,992
94,209,Kimchi,Korean,1247
2915,14,Gnocchi,Italian,1387
3156,51,Bossam,Korean,1446
6271,9,Avocado Toast,Healthy,980
2174,413,Moussaka,Main Course,859
4798,373,Oysters,Seafood,1076
3545,366,Ceviche,Seafood,1235
7009,380,Pasta Carbonara,Italian,1063
5562,155,Kale Salad,Healthy,963
4029,419,Jerk Chicken,Caribbean,577
1338,486,Ice Cream,Desserts,1016
6073,249,Pad See Ew,Thai,1428
4379,473,Baguette,French,301
3798,98,Thai Fried Rice,Thai,322
7350,90,Pudding,Desserts,1483
5928,204,Vada Pav,Indian,1380
4270,470,Baba Ganoush,Middle Eastern,1212
5196,316,Mac and Cheese,American,969
1884,203,Fried Plantains,Caribbean,273
3100,117,Quiche Lorraine,French,822
7661,101,Soufflé,French,1064
2676,2,Kimchi,Korean,1268
9941,333,Lobster Roll,American,793
3042,332,Fried Plantains,Caribbean,1134
5893,120,Chickpea Salad,Vegan,369
2493,123,Peking Duck,Chinese,1237
536,9,Chia Pudding,Healthy,1405
3332,403,Curry Goat,Caribbean,535
6866,428,Fattoush,Middle Eastern,1485
3646,188,Panna Cotta,Desserts,1231
102,352,Pina Colada,Beverage,1264
5757,3,Masala Dosa,Indian,1346
5959,39,Shakshuka,Mediterranean,959
4808,39,Coca-Cola,Beverage,876
7905,62,Minestrone Soup,Italian,265
